"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","943","keyboard-only path through login → search → detail → back","chromium","2026-09-04","passed","2026-09-04","Cross-cutting / non-functional","moviecatalog/nfr.test.ts","",""
"","1173","studio ID resolves to studio name","firefox","2026-09-04","passed","2026-09-04","Movie detail","moviecatalog/detail.test.ts","",""
"","1068","keyboard-only path through login → search → detail → back","firefox","2026-09-04","passed","2026-09-04","Cross-cutting / non-functional","moviecatalog/nfr.test.ts","",""
"","748","dismissing the popup is non-destructive","chromium","2026-09-04","passed","2026-09-04","Global error popup","moviecatalog/err.test.ts","",""
"","3990","valid login navigates to the movie list","webkit","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","1498","changing a filter issues exactly one new request","webkit","2026-09-04","passed","2026-09-04","Network mocking depth","moviecatalog/net.test.ts","",""
"","1147","edit mode pre-fills the form and locks the MID","firefox","2026-09-04","passed","2026-09-04","Add/Edit movie","moviecatalog/movie.test.ts","",""
"","864","delete confirmation flow and auto-dismissing toast","chromium","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1246","JS heap stays within budget after paging and filtering (Chromium only)","chromium","2026-09-04","passed","2026-09-04","Performance budgets","moviecatalog/perf.test.ts","",""
"","371","genre link ""Comedy"" filters and self-marks active","chromium","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","754","rating + price filters combine and reset to page 0","chromium","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1376","wildcard pattern mocks every movie-detail request","webkit","2026-09-04","passed","2026-09-04","Network mocking depth","moviecatalog/net.test.ts","",""
"","1194","no search matches shows the empty state (mocked)","firefox","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1121","a mocked 401 from the login endpoint shows the same inline error","webkit","2026-09-04","passed","2026-09-04","Authentication & session","moviecatalog/auth.test.ts","",""
"","1330","successful add navigates to the list with a success banner","firefox","2026-09-04","passed","2026-09-04","Add/Edit movie","moviecatalog/movie.test.ts","",""
"","1145","genre link ""Action"" filters and self-marks active","firefox","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1697","canceling a pending delete leaves the row intact","webkit","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
"","1062","pagination buttons disable at both boundaries (mocked)","firefox","2026-09-04","passed","2026-09-04","Movie list","moviecatalog/list.test.ts","",""
